"filename", "language", "vue", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Georg\source\repos\Wildvogelreha\package-lock.json", "JSON", 0, 13, 0, 0, 0, 13
"c:\Users\Georg\source\repos\Wildvogelreha\package.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Blog.vue", "vue", 0, 0, 0, 0, -1, -1
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Checkout.vue", "vue", 2, 0, 0, 0, 0, 2
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Contact.vue", "vue", 6, 0, 0, 0, 1, 7
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Shop.vue", "vue", 143, 0, 0, 0, 4, 147
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\ShopEmbed.vue", "vue", 1, 0, 0, 0, 0, 1
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Staff.vue", "vue", 394, 0, 0, 0, 24, 418
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Voegel.vue", "vue", -81, 0, 0, 0, -1, -82
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\server.js", "JavaScript", 0, 0, 92, -9, 19, 102
"Total", "-", 465, 14, 92, -9, 46, 608
