"filename", "language", "vue", "JavaScript", "Markdown", "PostCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Georg\source\repos\Wildvogelreha\README.md", "Markdown", 0, 0, -3, 0, 0, 0, 0, -3, -6
"c:\Users\Georg\source\repos\Wildvogelreha\index.html", "HTML", 0, 0, 0, 0, 0, -12, 0, -1, -13
"c:\Users\Georg\source\repos\Wildvogelreha\package-lock.json", "JSON", 0, 0, 0, 0, -4686, 0, 0, -1, -4687
"c:\Users\Georg\source\repos\Wildvogelreha\package.json", "JSON", 0, 0, 0, 0, -35, 0, 0, -1, -36
"c:\Users\Georg\source\repos\Wildvogelreha\src\App.vue", "vue", -15, 0, 0, 0, 0, 0, 0, -3, -18
"c:\Users\Georg\source\repos\Wildvogelreha\src\assets\global.css", "PostCSS", 0, 0, 0, -17, 0, 0, 0, -1, -18
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AbousUs.vue", "vue", -343, 0, 0, 0, 0, 0, 0, -16, -359
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AboutUs.vue", "vue", 427, 0, 0, 0, 0, 0, 0, 35, 462
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AppLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Appointments.vue", "vue", 2081, 0, 0, 0, 0, 0, 8, 234, 2323
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Blog.vue", "vue", 74, 0, 0, 0, 0, 0, 0, 15, 89
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Checkout.vue", "vue", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Contact.vue", "vue", 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Footer.vue", "vue", 88, 0, 0, 0, 0, 0, 0, 18, 106
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Header.vue", "vue", 232, 0, 0, 0, 0, 0, 3, 67, 302
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Home.vue", "vue", 81, 0, 0, 0, 0, 0, 0, 54, 135
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Login.vue", "vue", 42, 0, 0, 0, 0, 0, 0, 6, 48
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\PasswordGate.vue", "vue", 87, 0, 0, 0, 0, 0, 0, 10, 97
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Profile.vue", "vue", 48, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Project.vue", "vue", 42, 0, 0, 0, 0, 0, 1, 8, 51
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Register.vue", "vue", 57, 0, 0, 0, 0, 0, 0, 11, 68
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Shop.vue", "vue", 71, 0, 0, 0, 0, 0, 0, 18, 89
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Slideshow.vue", "vue", 31, 0, 0, 0, 0, 0, 0, 17, 48
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Spenden.vue", "vue", 39, 0, 0, 0, 0, 0, 0, 9, 48
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Staff.vue", "vue", 687, 0, 0, 0, 0, 0, 2, 90, 779
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Voegel.vue", "vue", 92, 0, 0, 0, 0, 0, 0, 8, 100
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\cart.vue", "vue", 48, 0, 0, 0, 0, 0, 0, 11, 59
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\package-lock.json", "JSON", 0, 0, 0, 0, -949, 0, 0, -1, -950
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\package.json", "JSON", 0, 0, 0, 0, -19, 0, 0, -4, -23
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\server.js", "JavaScript", 0, -735, 0, 0, 0, 0, 0, -65, -800
"c:\Users\Georg\source\repos\Wildvogelreha\src\main.js", "JavaScript", 0, -19, 0, 0, 0, 0, 0, -5, -24
"c:\Users\Georg\source\repos\Wildvogelreha\src\router\router.js", "JavaScript", 0, -44, 0, 0, 0, 0, 0, -3, -47
"c:\Users\Georg\source\repos\Wildvogelreha\src\style.css", "PostCSS", 0, 0, 0, -24, 0, 0, 0, -5, -29
"c:\Users\Georg\source\repos\Wildvogelreha\vite.config.js", "JavaScript", 0, -5, 0, 0, 0, 0, -1, -2, -8
"Total", "-", 3918, -803, -3, -41, -5689, -12, 13, 522, -2095
