"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AboutUs.vue", "vue", 427, 0, 0, 35, 462
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AppLayout.vue", "vue", 99, 0, 0, 20, 119
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Appointments.vue", "vue", 2081, 0, 8, 234, 2323
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Blog.vue", "vue", 398, 0, 0, 43, 441
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Checkout.vue", "vue", 201, 0, 0, 17, 218
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Contact.vue", "vue", 344, 0, 0, 48, 392
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Footer.vue", "vue", 103, 0, 0, 19, 122
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Header.vue", "vue", 463, 0, 3, 74, 540
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Home.vue", "vue", 521, 0, 0, 73, 594
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Login.vue", "vue", 104, 0, 0, 11, 115
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\PasswordGate.vue", "vue", 87, 0, 0, 10, 97
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Profile.vue", "vue", 306, 0, 0, 19, 325
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Project.vue", "vue", 42, 0, 1, 8, 51
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Register.vue", "vue", 195, 0, 0, 27, 222
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Shop.vue", "vue", 900, 0, 0, 107, 1007
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\ShopEmbed.vue", "vue", 220, 0, 0, 15, 235
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Slideshow.vue", "vue", 189, 0, 0, 34, 223
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Spenden.vue", "vue", 117, 0, 0, 22, 139
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Staff.vue", "vue", 1999, 0, 2, 143, 2144
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Voegel.vue", "vue", 925, 0, 0, 114, 1039
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\auth.js", "JavaScript", 0, 47, 0, 11, 58
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\cart.vue", "vue", 285, 0, 0, 32, 317
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\cartState.js", "JavaScript", 0, 118, 0, 26, 144
"Total", "-", 10006, 165, 14, 1142, 11327
