"filename", "language", "JavaScript", "vue", "comment", "blank", "total"
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AboutUs.vue", "vue", 0, -427, 0, -35, -462
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\AppLayout.vue", "vue", 0, -99, 0, -20, -119
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Appointments.vue", "vue", 0, -2081, -8, -234, -2323
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Blog.vue", "vue", 0, -398, 0, -43, -441
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Checkout.vue", "vue", 0, -201, 0, -17, -218
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Contact.vue", "vue", 0, -344, 0, -48, -392
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Footer.vue", "vue", 0, -103, 0, -19, -122
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Header.vue", "vue", 0, -463, -3, -74, -540
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Home.vue", "vue", 0, -521, 0, -73, -594
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Login.vue", "vue", 0, -104, 0, -11, -115
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\PasswordGate.vue", "vue", 0, -87, 0, -10, -97
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Profile.vue", "vue", 0, -306, 0, -19, -325
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Project.vue", "vue", 0, -42, -1, -8, -51
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Register.vue", "vue", 0, -195, 0, -27, -222
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Shop.vue", "vue", 0, -900, 0, -107, -1007
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\ShopEmbed.vue", "vue", 0, -220, 0, -15, -235
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Slideshow.vue", "vue", 0, -189, 0, -34, -223
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Spenden.vue", "vue", 0, -117, 0, -22, -139
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Staff.vue", "vue", 0, -1999, -2, -143, -2144
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\Voegel.vue", "vue", 0, -925, 0, -114, -1039
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\auth.js", "JavaScript", -47, 0, 0, -11, -58
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\cart.vue", "vue", 0, -285, 0, -32, -317
"c:\Users\Georg\source\repos\Wildvogelreha\src\components\cartState.js", "JavaScript", -118, 0, 0, -26, -144
"c:\Users\Georg\source\repos\Wildvogelreha\src\server\scripts\check_emails_and_send_test.js", "JavaScript", 190, 0, 5, 28, 223
"Total", "-", 25, -10006, -9, -1114, -11104
