title,description,appointment_date,appointment_time,end_time,category,priority,status,room,patient_id,assigned_to,recurring,recurring_interval,notes,created_by
Termin 1,Auto-generated,2026-01-01,08:00:00,09:00:00,sprint-planung,mittel,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 2,Auto-generated,2026-01-02,09:00:00,10:00:00,team-meeting,niedrig,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 3,Auto-generated,2026-01-03,10:00:00,11:00:00,code-review,hoch,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 4,Auto-generated,2026-01-04,11:00:00,12:00:00,deployment,mittel,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 5,Auto-generated,2026-01-05,12:00:00,13:00:00,testing,niedrig,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 6,Auto-generated,2026-01-06,13:00:00,14:00:00,dokumentation,hoch,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 7,Auto-generated,2026-01-07,14:00:00,15:00:00,planning,mittel,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 8,Auto-generated,2026-01-08,15:00:00,16:00:00,sonstiges,niedrig,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 9,Auto-generated,2026-01-09,16:00:00,17:00:00,sprint-planung,hoch,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 10,Auto-generated,2026-01-10,17:00:00,18:00:00,team-meeting,mittel,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 11,Auto-generated,2026-01-11,08:00:00,09:00:00,code-review,niedrig,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 12,Auto-generated,2026-01-12,09:00:00,10:00:00,deployment,hoch,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 13,Auto-generated,2026-01-13,10:00:00,11:00:00,testing,mittel,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 14,Auto-generated,2026-01-14,11:00:00,12:00:00,dokumentation,niedrig,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 15,Auto-generated,2026-01-15,12:00:00,13:00:00,planning,hoch,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 16,Auto-generated,2026-01-16,13:00:00,14:00:00,sonstiges,mittel,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 17,Auto-generated,2026-01-17,14:00:00,15:00:00,sprint-planung,niedrig,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 18,Auto-generated,2026-01-18,15:00:00,16:00:00,team-meeting,hoch,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 19,Auto-generated,2026-01-19,16:00:00,17:00:00,code-review,mittel,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 20,Auto-generated,2026-01-20,17:00:00,18:00:00,deployment,niedrig,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 21,Auto-generated,2026-01-21,08:00:00,09:00:00,testing,hoch,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 22,Auto-generated,2026-01-22,09:00:00,10:00:00,dokumentation,mittel,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 23,Auto-generated,2026-01-23,10:00:00,11:00:00,planning,niedrig,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 24,Auto-generated,2026-01-24,11:00:00,12:00:00,sonstiges,hoch,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 25,Auto-generated,2026-01-25,12:00:00,13:00:00,sprint-planung,mittel,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 26,Auto-generated,2026-01-26,13:00:00,14:00:00,team-meeting,niedrig,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 27,Auto-generated,2026-01-27,14:00:00,15:00:00,code-review,hoch,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 28,Auto-generated,2026-01-28,15:00:00,16:00:00,deployment,mittel,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 29,Auto-generated,2026-01-29,16:00:00,17:00:00,testing,niedrig,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 30,Auto-generated,2026-01-30,17:00:00,18:00:00,dokumentation,hoch,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 31,Auto-generated,2026-01-31,08:00:00,09:00:00,planning,mittel,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 32,Auto-generated,2026-02-01,09:00:00,10:00:00,sonstiges,niedrig,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 33,Auto-generated,2026-02-02,10:00:00,11:00:00,sprint-planung,hoch,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 34,Auto-generated,2026-02-03,11:00:00,12:00:00,team-meeting,mittel,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 35,Auto-generated,2026-02-04,12:00:00,13:00:00,code-review,niedrig,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 36,Auto-generated,2026-02-05,13:00:00,14:00:00,deployment,hoch,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 37,Auto-generated,2026-02-06,14:00:00,15:00:00,testing,mittel,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 38,Auto-generated,2026-02-07,15:00:00,16:00:00,dokumentation,niedrig,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 39,Auto-generated,2026-02-08,16:00:00,17:00:00,planning,hoch,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 40,Auto-generated,2026-02-09,17:00:00,18:00:00,sonstiges,mittel,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 41,Auto-generated,2026-02-10,08:00:00,09:00:00,sprint-planung,niedrig,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 42,Auto-generated,2026-02-11,09:00:00,10:00:00,team-meeting,hoch,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 43,Auto-generated,2026-02-12,10:00:00,11:00:00,code-review,mittel,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 44,Auto-generated,2026-02-13,11:00:00,12:00:00,deployment,niedrig,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 45,Auto-generated,2026-02-14,12:00:00,13:00:00,testing,hoch,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 46,Auto-generated,2026-02-15,13:00:00,14:00:00,dokumentation,mittel,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 47,Auto-generated,2026-02-16,14:00:00,15:00:00,planning,niedrig,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 48,Auto-generated,2026-02-17,15:00:00,16:00:00,sonstiges,hoch,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 49,Auto-generated,2026-02-18,16:00:00,17:00:00,sprint-planung,mittel,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 50,Auto-generated,2026-02-19,17:00:00,18:00:00,team-meeting,niedrig,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 51,Auto-generated,2026-02-20,08:00:00,09:00:00,code-review,hoch,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 52,Auto-generated,2026-02-21,09:00:00,10:00:00,deployment,mittel,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 53,Auto-generated,2026-02-22,10:00:00,11:00:00,testing,niedrig,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 54,Auto-generated,2026-02-23,11:00:00,12:00:00,dokumentation,hoch,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 55,Auto-generated,2026-02-24,12:00:00,13:00:00,planning,mittel,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 56,Auto-generated,2026-02-25,13:00:00,14:00:00,sonstiges,niedrig,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 57,Auto-generated,2026-02-26,14:00:00,15:00:00,sprint-planung,hoch,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 58,Auto-generated,2026-02-27,15:00:00,16:00:00,team-meeting,mittel,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 59,Auto-generated,2026-02-28,16:00:00,17:00:00,code-review,niedrig,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 60,Auto-generated,2026-03-01,17:00:00,18:00:00,deployment,hoch,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 61,Auto-generated,2026-03-02,08:00:00,09:00:00,testing,mittel,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 62,Auto-generated,2026-03-03,09:00:00,10:00:00,dokumentation,niedrig,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 63,Auto-generated,2026-03-04,10:00:00,11:00:00,planning,hoch,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 64,Auto-generated,2026-03-05,11:00:00,12:00:00,sonstiges,mittel,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 65,Auto-generated,2026-03-06,12:00:00,13:00:00,sprint-planung,niedrig,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 66,Auto-generated,2026-03-07,13:00:00,14:00:00,team-meeting,hoch,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 67,Auto-generated,2026-03-08,14:00:00,15:00:00,code-review,mittel,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 68,Auto-generated,2026-03-09,15:00:00,16:00:00,deployment,niedrig,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 69,Auto-generated,2026-03-10,16:00:00,17:00:00,testing,hoch,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 70,Auto-generated,2026-03-11,17:00:00,18:00:00,dokumentation,mittel,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 71,Auto-generated,2026-03-12,08:00:00,09:00:00,planning,niedrig,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 72,Auto-generated,2026-03-13,09:00:00,10:00:00,sonstiges,hoch,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 73,Auto-generated,2026-03-14,10:00:00,11:00:00,sprint-planung,mittel,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 74,Auto-generated,2026-03-15,11:00:00,12:00:00,team-meeting,niedrig,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 75,Auto-generated,2026-03-16,12:00:00,13:00:00,code-review,hoch,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 76,Auto-generated,2026-03-17,13:00:00,14:00:00,deployment,mittel,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 77,Auto-generated,2026-03-18,14:00:00,15:00:00,testing,niedrig,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
